description,dG_separated,dSASA_int,hbonds_int,dG_norm,area_norm_R,hbonds_norm_R,Rosetta_score,merge_name,filename,int_area,stab_en,n_hbonds,pvalue,area_norm_P,stab_norm,hbonds_norm_P,pval_norm,PISA_score,Rosetta_score_norm,PISA_score_norm,composite_score
,,,,,,,,d0_n0,d0_n0_relaxed,672.6256991,-9.565181888,3.0,0.173933347,0.0,0.0,0.0,0.2415893728941404,0.02415893728941404,,0.026681830816153895,
,,,,,,,,d1_n0,d1_n0_relaxed,807.9305672,-11.12389941,6.0,0.094966595,0.5248438423481495,0.43120596937759076,0.6,1.0,0.559299327752537,,0.6177063941144801,
,,,,,,,,d1_n1,d1_n1_relaxed,895.5010694,-12.81112897,6.0,0.09794443,0.8645273991661991,0.8979637030359707,0.6,0.9714003469489567,0.8323401052721666,,0.9192605454587991,
,,,,,,,,d1_n2,d1_n2_relaxed,930.4259383,-10.72578042,5.0,0.199087963,1.0,0.32106973071498496,0.4,0.0,0.5763209192144956,,0.6365055332557815,
,,,,,,,,d1_n3,d1_n3_relaxed,815.6851929,-10.75952978,3.0,0.126725279,0.5549238210326686,0.3304062046361867,0.0,0.694983992142708,0.39058978901819424,,0.43137868790558354,
relaxed_design0_n0_0001_0001,-36.109,1388.636,4.0,0.0,0.0,0.4,0.0888,design0_n0,,,,,,,,,,0.0,0.0,0.0,0.0
relaxed_design1_n0_0001_0001,-51.581,1655.476,7.0,0.827556696619598,0.556085809433703,1.0,0.7746117478405246,design1_n0,,,,,,,,,,0.0,0.8023773113094876,0.0,0.5616641179166413
relaxed_design1_n1_0001_0001,-50.693,1836.104,7.0,0.7800599058622164,0.9325086380440718,1.0,0.8788719746715,design1_n1,,,,,,,,,,0.0,0.9243583662339192,0.0,0.6470508563637434
relaxed_design1_n2_0001_0001,-49.82,1868.49,6.0,0.7333654257595208,1.0,0.8,0.8362142490372273,design1_n2,,,,,,,,,,0.0,0.8744502226234008,0.0,0.6121151558363805
relaxed_design1_n3_0001_0001,-41.585,1684.115,2.0,0.2928968763371844,0.615768546266156,0.0,0.3350971390003398,design1_n3,,,,,,,,,,0.0,0.2881595959774463,0.0,0.20171171718421238
,,,,,,,,relaxed_WT,relaxed_WT,888.8544727,-13.1799684,8.0,0.126258098,0.8387454343370523,1.0,1.0,0.6994708809434773,0.9054452618291685,,1.0,
